A,B
0.0,0.0
0.005000500050005001,0.004997979345873021
0.010001000100010001,0.009990836550349593
0.015001500150015001,0.014978450701958496
0.020002000200020003,0.01996070114243871
0.025002500250025,0.02493746746953203
0.030003000300030003,0.029908629539766394
0.035003500350035,0.03487406747122988
0.040004000400040006,0.03983366164633544
0.045004500450045004,0.044787292714575995
0.05000500050005,0.04973484159527022
0.05500550055005501,0.054676189480298724
0.060006000600060005,0.059611217836830536
0.06500650065006501,0.06453980841004003
0.07000700070007,0.06946184322581403
0.075007500750075,0.07437720459344917
0.08000800080008001,0.07928577510833937
0.085008500850085,0.08418743765465349
0.09000900090009001,0.08908207540800284
0.09500950095009501,0.0939695718380989
0.1000100010001,0.09884981071140073
0.10501050105010501,0.10372267609375244
0.11001100110011001,0.10858805235301035
0.115011501150115,0.11344582416165987
0.12001200120012001,0.11829587649942223
0.125012501250125,0.12313809465585064
0.13001300130013002,0.1279723642329163
0.135013501350135,0.13279857114758364
0.14001400140014,0.1376166016343752
0.14501450145014502,0.142426342247926
0.15001500150015,0.14722767986552712
0.155015501550155,0.15202050168965867
0.16001600160016002,0.15680469525051194
0.16501650165016502,0.16158014840850096
0.17001700170017,0.16634674935676305
0.17501750175017503,0.17110438662364835
0.18001800180018002,0.1758529490751987
0.185018501850185,0.18059232591761532
0.19001900190019003,0.18532240669971553
0.19501950195019502,0.19004308131537825
0.2000200020002,0.19475424000597852
0.20502050205020503,0.1994557733628105
0.21002100210021002,0.2041475723294997
0.215021502150215,0.2088295282044034
0.22002200220022003,0.21350153264300012
0.22502250225022502,0.21816347766026736
0.23002300230023,0.22281525563304824
0.23502350235023503,0.22745675930240625
0.24002400240024002,0.2320878817759687
0.245024502450245,0.23670851653025854
0.25002500250025,0.2413185574130146
0.255025502550255,0.24591789864549993
0.26002600260026004,0.25050643482479856
0.265026502650265,0.25508406092610036
0.27002700270027,0.2596506723049746
0.27502750275027504,0.2642061646996305
0.28002800280028,0.268750434233167
0.285028502850285,0.2732833774158104
0.29002900290029004,0.2778048911471388
0.295029502950295,0.28231487271829625
0.3000300030003,0.28681321981419383
0.30503050305030505,0.29129983051569824
0.31003100310031,0.29577460330180927
0.31503150315031503,0.30023743705182393
0.32003200320032005,0.30468823104748927
0.325032503250325,0.3091268849751422
0.33003300330033003,0.31355329892783745
0.33503350335033505,0.31796737340746256
0.34003400340034,0.32236900932684104
0.34503450345034503,0.32675810801182276
0.35003500350035005,0.3311345712033619
0.355035503550355,0.33549830105958206
0.36003600360036003,0.3398492001578292
