A,B
-10.0,4.4856566336929764e-5
-9.959919839679358,4.915165518644793e-5
-9.919839679358718,5.306510256103914e-5
-9.879759519038076,5.644162635870386e-5
-9.839679358717435,5.911257265487173e-5
-9.799599198396793,6.0897706844117285e-5
-9.759519038076153,6.160757048276706e-5
-9.719438877755511,6.104643648834914e-5
-9.67935871743487,5.9015885761220653e-5
-9.639278557114228,5.531901665287903e-5
-9.599198396793588,4.976528499740707e-5
-9.559118236472946,4.217595668074057e-5
-9.519038076152304,3.2390137037407965e-5
-9.478957915831664,2.0271321889681948e-5
-9.438877755511022,5.714394001519414e-6
-9.39879759519038,-1.1347033596394077e-5
-9.358717434869739,-3.0933049173903966e-5
-9.318637274549099,-5.3009794201329844e-5
-9.278557114228457,-7.748190463379071e-5
-9.238476953907815,-0.00010418523358083311
-9.198396793587174,-0.00013288006898401968
-9.158316633266534,-0.00016324507949231875
-9.118236472945892,-0.0001948722384592639
-9.07815631262525,-0.00022726298906919001
-9.03807615230461,-0.0002598259221912985
-8.997995991983968,-0.00029187624181329486
-8.957915831663327,-0.0003226372899895883
-8.917835671342685,-0.0003512443933602244
-8.877755511022045,-0.00037675127572706535
-8.837675350701403,-0.00039813925527618484
-8.797595190380761,-0.00041432941029220403
-8.75751503006012,-0.00042419785325285814
-8.71743486973948,-0.00042659419982979467
-8.677354709418838,-0.0004203632565710139
-8.637274549098196,-0.0004043698791515314
-8.597194388777556,-0.000377526872560874
-8.557114228456914,-0.0003388257162374068
-8.517034068136272,-0.0002873698020458421
-8.47695390781563,-0.000222409772519652
-8.43687374749499,-0.00014338044266154576
-8.396793587174349,-4.9938682832026946e-5
-8.356713426853707,5.799846482179092e-5
-8.316633266533065,0.00018021626573528314
-8.276553106212425,0.0003161662930784547
-8.236472945891784,0.00046493296011016876
-8.196392785571142,0.0006252036701377331
-8.156312625250502,0.0007952437276780822
-8.11623246492986,0.0009728771934379723
-8.076152304609218,0.0011554748822420206
-8.036072144288577,0.001339950693829258
-7.995991983967936,0.0015227674285234725
-7.955911823647295,0.0016999531704976624
-7.915831663326653,0.001867129218461769
-7.875751503006012,0.0020195504054050196
-7.83567134268537,0.0021521584744575643
-7.7955911823647295,0.0022596489666808655
-7.755511022044089,0.002336551829170948
-7.715430861723447,0.002377325669704178
-7.675350701402806,0.002376465269711573
-7.635270541082164,0.002328621624127632
-7.595190380761523,0.002228733409209106
-7.5551102204408815,0.0020721683934509486
-7.515030060120241,0.0018548729090298265
-7.474949899799599,0.001573527099628492
-7.434869739478958,0.001225703263871888
-7.394789579158316,0.0008100242316647713
-7.354709418837675,0.00032631835393633405
-7.3146292585170345,-0.00022423263426225745
-7.274549098196393,-0.0008389568902484475
-7.234468937875752,-0.0015135711063334314
-7.19438877755511,-0.0022420788879533434
-7.154308617234469,-0.0030166932976139465
-7.114228456913827,-0.0038277879635909766
-7.074148296593187,-0.004663881019276697
-7.034068136272545,-0.00551165589628896
-6.993987975951904,-0.0063560226356195095
-6.953907815631262,-0.007180222901869072
-6.913827655310621,-0.00796598128400344
-6.87374749498998,-0.008693704742703867
-6.833667334669339,-0.009342731222788076
-6.793587174348698,-0.009891627495959437
-6.753507014028056,-0.010318535244171275
-6.713426853707415,-0.010601563250399277
-6.673346693386773,-0.01071922234821721
-6.6332665330661325,-0.01065089851422423
-6.593186372745491,-0.010377358191239706
-6.55310621242485,-0.00988127863140549
-6.513026052104208,-0.00914779477572623
-6.472945891783567,-0.00816505297119204
-6.432865731462926,-0.0069247607012792025
-6.3927855711422845,-0.005422720504265268
-6.352705410821644,-0.0036593354108653865
-6.312625250501002,-0.0016400725823402828
-6.272545090180361,0.0006241285945144837
-6.232464929859719,0.0031165178671360024
-6.192384769539078,0.005814278726536134
-6.152304609218437,0.008688369634949851
-6.112224448897796,0.011703474485509012
-6.072144288577154,0.014818073809663112
-6.032064128256513,0.017984646799457108
-5.991983967935872,0.021150012412153873
-5.95190380761523,0.02425581568148567
-5.9118236472945895,0.027239162888889123
-5.871743486973948,0.03003340647403834
-5.831663326653307,0.03256907752043682
-5.791583166332665,0.034774960381385084
-5.751503006012024,0.036579300565707296
-5.7114228456913825,0.03791113344103089
-5.671342685370742,0.038701717702718796
-5.6312625250501,0.038886053973200864
-5.591182364729459,0.0384044654196147
-5.551102204408818,0.037204213991955205
-5.511022044088176,0.035241122876776367
-5.470941883767535,0.032481173121453565
-5.430861723446894,0.02890204019881779
-5.390781563126253,0.024494534636461993
-5.350701402805611,0.01926390980903765
-5.31062124248497,0.013230999657955865
-5.270541082164328,0.006433149524236682
-5.2304609218436875,-0.0010750954917177484
-5.190380761523046,-0.009221578157124799
-5.150300601202405,-0.0179164232951109
-5.110220440881764,-0.0270522652981278
-5.070140280561122,-0.03650483106211089
-5.030060120240481,-0.04613389494502456
-4.98997995991984,-0.05578461609216217
-4.949899799599199,-0.06528926151535201
-4.909819639278557,-0.07446931076024006
-4.869739478957916,-0.08313792996143804
-4.829659318637274,-0.09110279470495194
-4.789579158316633,-0.09816923254375469
-4.749498997995992,-0.10414364741371687
-4.709418837675351,-0.10883717975398845
-4.669338677354709,-0.11206954803844867
-4.629258517034068,-0.11367300986895768
-4.589178356713427,-0.11349637396477713
-4.5490981963927855,-0.11140898850120626
-4.509018036072145,-0.10730462649295844
-4.468937875751503,-0.10110518546130191
-4.428857715430862,-0.09276411662957251
-4.38877755511022,-0.08226949849959023
-4.348697394789579,-0.06964667098671487
-4.3086172344689375,-0.054960349419265656
-4.268537074148297,-0.03831614269099224
